id,date,home_team,home_team_score,visit_team,visit_team_score
301003013,2010-10-03,Oakland Raiders,24,Houston,31
301010013,2010-10-10,Oakland Raiders,35,San Diego,27
301121023,2010-11-21,Pittsburgh,35,Oakland Raiders,3
301205024,2010-12-05,San Diego,13,Oakland Raiders,28
301212030,2010-12-12,Jacksonville,38,Oakland Raiders,31
301226013,2010-12-26,Oakland Raiders,26,Indianapolis,31
300821003,2010-08-21,Chicago,17,Oakland Raiders,32
300919024,2010-09-19,San Diego Chargers,38,Jacksonville,13
301031024,2010-10-31,San Diego Chargers,33,Tennessee,25
301107034,2010-11-07,Houston,23,San Diego Chargers,29
301128011,2010-11-28,Indianapolis,14,San Diego Chargers,36
301226004,2010-12-26,Cincinnati,34,San Diego Chargers,20
300814024,2010-08-14,San Diego Chargers,25,Chicago,10
300827018,2010-08-27,New Orleans,36,San Diego Chargers,21
310123003,2010-01-23,Chicago Bears,14,Green Bay,21
300912003,2010-09-12,Chicago Bears,19,Detroit,14
300927003,2010-09-27,Chicago Bears,20,Green Bay,17
301010029,2010-10-10,Carolina,6,Chicago Bears,23
301114003,2010-11-14,Chicago Bears,27,Minnesota,13
301205008,2010-12-05,Detroit,20,Chicago Bears,24
301220016,2010-12-20,Minnesota,14,Chicago Bears,40
310102009,2010-01-02,Green Bay,10,Chicago Bears,3
300902005,2010-09-02,Cleveland,13,Chicago Bears,10
300926016,2010-09-26,Minnesota,24,Detroit Lions,10
301003009,2010-10-03,Green Bay,28,Detroit Lions,26
301212008,2010-12-12,Detroit Lions,7,Green Bay,3
301219027,2010-12-19,Tampa Bay,20,Detroit Lions,23
310102008,2010-01-02,Detroit Lions,20,Minnesota,13
300814023,2010-08-14,Pittsburgh,23,Detroit Lions,7
300828008,2010-08-28,Detroit Lions,35,Cleveland,27
310115001,2010-01-15,Atlanta,21,Green Bay Packers,48
310206009,2010-02-06,Green Bay Packers,31,Pittsburgh,25
301024009,2010-10-24,Green Bay Packers,28,Minnesota,24
301121016,2010-11-21,Minnesota,3,Green Bay Packers,31
301128001,2010-11-28,Atlanta,20,Green Bay Packers,17
300814009,2010-08-14,Green Bay Packers,24,Cleveland,27
300826009,2010-08-26,Green Bay Packers,59,Indianapolis,24
300909018,2010-09-09,New Orleans,14,Minnesota Vikings,9
310115023,2010-01-15,Pittsburgh,31,Baltimore Ravens,24
300919004,2010-09-19,Cincinnati,15,Baltimore Ravens,10
300926033,2010-09-26,Baltimore Ravens,24,Cleveland,17
301003023,2010-10-03,Pittsburgh,14,Baltimore Ravens,17
301111001,2010-11-11,Atlanta,26,Baltimore Ravens,21
301121029,2010-11-21,Carolina,13,Baltimore Ravens,37
301128033,2010-11-28,Baltimore Ravens,17,Tampa Bay,10
301205033,2010-12-05,Baltimore Ravens,10,Pittsburgh,13
301213034,2010-12-13,Houston,28,Baltimore Ravens,34
301219033,2010-12-19,Baltimore Ravens,30,New Orleans,24
301226005,2010-12-26,Cleveland,10,Baltimore Ravens,20
310102033,2010-01-02,Baltimore Ravens,13,Cincinnati,7
300812033,2010-08-12,Baltimore Ravens,17,Carolina,12
300926029,2010-09-26,Carolina,7,Cincinnati Bengals,20
301003005,2010-10-03,Cleveland,23,Cincinnati Bengals,20
301010004,2010-10-10,Cincinnati Bengals,21,Tampa Bay,24
301024001,2010-10-24,Atlanta,39,Cincinnati Bengals,32
301108004,2010-11-08,Cincinnati Bengals,21,Pittsburgh,27
301114011,2010-11-14,Indianapolis,23,Cincinnati Bengals,17
301205004,2010-12-05,Cincinnati Bengals,30,New Orleans,34
301212023,2010-12-12,Pittsburgh,23,Cincinnati Bengals,7
301219004,2010-12-19,Cincinnati Bengals,19,Cleveland,17
300902011,2010-09-02,Indianapolis,28,Cincinnati Bengals,30
300912027,2010-09-12,Tampa Bay,17,Cleveland Browns,14
301010005,2010-10-10,Cleveland Browns,10,Atlanta,20
301017023,2010-10-17,Pittsburgh,28,Cleveland Browns,10
301024018,2010-10-24,New Orleans,17,Cleveland Browns,30
301121030,2010-11-21,Jacksonville,24,Cleveland Browns,20
301128005,2010-11-28,Cleveland Browns,24,Carolina,23
310102005,2010-01-02,Cleveland Browns,9,Pittsburgh,41
300912023,2010-09-12,Pittsburgh Steelers,15,Atlanta,9
300919010,2010-09-19,Tennessee,11,Pittsburgh Steelers,19
300926027,2010-09-26,Tampa Bay,13,Pittsburgh Steelers,38
301031018,2010-10-31,New Orleans,20,Pittsburgh Steelers,10
301223023,2010-12-23,Pittsburgh Steelers,27,Carolina,3
300902023,2010-09-02,Pittsburgh Steelers,19,Carolina,3
300926018,2010-09-26,New Orleans,24,Atlanta Falcons,27
301107001,2010-11-07,Atlanta Falcons,27,Tampa Bay,21
301205027,2010-12-05,Tampa Bay,24,Atlanta Falcons,28
301212029,2010-12-12,Carolina,10,Atlanta Falcons,31
301227001,2010-12-27,Atlanta Falcons,14,New Orleans,17
310102001,2010-01-02,Atlanta Falcons,31,Carolina,10
300902030,2010-09-02,Jacksonville,13,Atlanta Falcons,9
300919029,2010-09-19,Carolina Panthers,7,Tampa Bay,20
301003018,2010-10-03,New Orleans,16,Carolina Panthers,14
301107029,2010-11-07,Carolina Panthers,3,New Orleans,34
301114027,2010-11-14,Tampa Bay,31,Carolina Panthers,16
300828029,2010-08-28,Carolina Panthers,15,Tennessee,7
301017027,2010-10-17,Tampa Bay,6,New Orleans Saints,31
310102018,2010-01-02,New Orleans Saints,13,Tampa Bay,23
300821018,2010-08-21,New Orleans Saints,38,Houston,20
300902010,2010-09-02,Tennessee,27,New Orleans Saints,24
300828027,2010-08-28,Tampa Bay Buccaneers,13,Jacksonville,19
300902034,2010-09-02,Houston,17,Tampa Bay Buccaneers,24
300912034,2010-09-12,Houston Texans,34,Indianapolis,24
301101011,2010-11-01,Indianapolis,30,Houston Texans,17
301114030,2010-11-14,Jacksonville,31,Houston Texans,24
301128034,2010-11-28,Houston Texans,20,Tennessee,0
301219010,2010-12-19,Tennessee,31,Houston Texans,17
310102034,2010-01-02,Houston Texans,34,Jacksonville,17
301003030,2010-10-03,Jacksonville,31,Indianapolis Colts,28
301209010,2010-12-09,Tennessee,28,Indianapolis Colts,30
301219011,2010-12-19,Indianapolis Colts,34,Jacksonville,24
310102011,2010-01-02,Indianapolis Colts,23,Tennessee,20
301018030,2010-10-18,Jacksonville Jaguars,3,Tennessee,30
301205010,2010-12-05,Tennessee,6,Jacksonville Jaguars,17
