id,date,home_team,home_team_score,visit_team,visit_team_score
331229024,2013-12-29,San Diego,27,Kansas City Chiefs,24
330809018,2013-08-09,New Orleans,17,Kansas City Chiefs,13
330824023,2013-08-24,Pittsburgh,20,Kansas City Chiefs,26
330829012,2013-08-29,Kansas City Chiefs,30,Green Bay,8
330908011,2013-09-08,Indianapolis,21,Oakland Raiders,17
330915013,2013-09-15,Oakland Raiders,19,Jacksonville,9
331006013,2013-10-06,Oakland Raiders,27,San Diego,17
331027013,2013-10-27,Oakland Raiders,21,Pittsburgh,18
331117034,2013-11-17,Houston,23,Oakland Raiders,28
331124013,2013-11-24,Oakland Raiders,19,Tennessee,23
331222024,2013-12-22,San Diego,26,Oakland Raiders,13
330816018,2013-08-16,New Orleans,28,Oakland Raiders,20
330823013,2013-08-23,Oakland Raiders,26,Chicago,34
340105004,2013-01-05,Cincinnati,10,San Diego Chargers,27
330909024,2013-09-09,San Diego Chargers,28,Houston,31
330922010,2013-09-22,Tennessee,20,San Diego Chargers,17
331014024,2013-10-14,San Diego Chargers,19,Indianapolis,9
331020030,2013-10-20,Jacksonville,6,San Diego Chargers,24
331201024,2013-12-01,San Diego Chargers,10,Cincinnati,17
330815003,2013-08-15,Chicago,33,San Diego Chargers,28
330908003,2013-09-08,Chicago Bears,24,Cincinnati,21
330915003,2013-09-15,Chicago Bears,31,Minnesota,30
330922023,2013-09-22,Pittsburgh,23,Chicago Bears,40
330929008,2013-09-29,Detroit,40,Chicago Bears,32
331006003,2013-10-06,Chicago Bears,18,New Orleans,26
331104009,2013-11-04,Green Bay,20,Chicago Bears,27
331110003,2013-11-10,Chicago Bears,19,Detroit,21
331117003,2013-11-17,Chicago Bears,23,Baltimore,20
331201016,2013-12-01,Minnesota,23,Chicago Bears,20
331215005,2013-12-15,Cleveland,31,Chicago Bears,38
331229003,2013-12-29,Chicago Bears,28,Green Bay,33
330809029,2013-08-09,Carolina,24,Chicago Bears,17
330829003,2013-08-29,Chicago Bears,16,Cleveland,18
330908008,2013-09-08,Detroit Lions,34,Minnesota,24
331006009,2013-10-06,Green Bay,22,Detroit Lions,9
331013005,2013-10-13,Cleveland,17,Detroit Lions,31
331020008,2013-10-20,Detroit Lions,24,Cincinnati,27
331117023,2013-11-17,Pittsburgh,37,Detroit Lions,27
331124008,2013-11-24,Detroit Lions,21,Tampa Bay,24
331128008,2013-11-28,Detroit Lions,40,Green Bay,10
331216008,2013-12-16,Detroit Lions,16,Baltimore,18
331229016,2013-12-29,Minnesota,14,Detroit Lions,13
330815005,2013-08-15,Cleveland,24,Detroit Lions,6
330922004,2013-09-22,Cincinnati,34,Green Bay Packers,30
331013033,2013-10-13,Baltimore,17,Green Bay Packers,19
331020009,2013-10-20,Green Bay Packers,31,Cleveland,13
331027016,2013-10-27,Minnesota,31,Green Bay Packers,44
331208009,2013-12-08,Green Bay Packers,22,Atlanta,21
331222009,2013-12-22,Green Bay Packers,31,Pittsburgh,38
330922016,2013-09-22,Minnesota Vikings,27,Cleveland,31
330929016,2013-09-29,Minnesota Vikings,34,Pittsburgh,27
331013016,2013-10-13,Minnesota Vikings,10,Carolina,35
331208033,2013-12-08,Baltimore,29,Minnesota Vikings,26
331222004,2013-12-22,Cincinnati,42,Minnesota Vikings,14
330809016,2013-08-09,Minnesota Vikings,13,Houston,27
330829016,2013-08-29,Minnesota Vikings,24,Tennessee,23
330915033,2013-09-15,Baltimore Ravens,14,Cleveland,6
330922033,2013-09-22,Baltimore Ravens,30,Houston,9
331020023,2013-10-20,Pittsburgh,19,Baltimore Ravens,16
331103005,2013-11-03,Cleveland,24,Baltimore Ravens,18
331110033,2013-11-10,Baltimore Ravens,20,Cincinnati,17
331128033,2013-11-28,Baltimore Ravens,22,Pittsburgh,20
331229004,2013-12-29,Cincinnati,34,Baltimore Ravens,17
330808027,2013-08-08,Tampa Bay,16,Baltimore Ravens,44
330815033,2013-08-15,Baltimore Ravens,27,Atlanta,23
330822033,2013-08-22,Baltimore Ravens,27,Carolina,34
330916004,2013-09-16,Cincinnati Bengals,20,Pittsburgh,10
330929005,2013-09-29,Cleveland,17,Cincinnati Bengals,6
331117004,2013-11-17,Cincinnati Bengals,41,Cleveland,20
331208004,2013-12-08,Cincinnati Bengals,42,Indianapolis,28
331215023,2013-12-15,Pittsburgh,30,Cincinnati Bengals,20
330808001,2013-08-08,Atlanta,10,Cincinnati Bengals,34
330817004,2013-08-17,Cincinnati Bengals,27,Tennessee,19
330829004,2013-08-29,Cincinnati Bengals,27,Indianapolis,10
331124005,2013-11-24,Cleveland Browns,11,Pittsburgh,27
331201005,2013-12-01,Cleveland Browns,28,Jacksonville,32
331229023,2013-12-29,Pittsburgh,20,Cleveland Browns,7
330824011,2013-08-24,Indianapolis,27,Cleveland Browns,6
330908023,2013-09-08,Pittsburgh Steelers,9,Tennessee,16
330829029,2013-08-29,Carolina,25,Pittsburgh Steelers,10
330908018,2013-09-08,New Orleans,23,Atlanta Falcons,17
331020001,2013-10-20,Atlanta Falcons,31,Tampa Bay,23
331103029,2013-11-03,Carolina,34,Atlanta Falcons,10
331117027,2013-11-17,Tampa Bay,41,Atlanta Falcons,28
331121001,2013-11-21,Atlanta Falcons,13,New Orleans,17
331229001,2013-12-29,Atlanta Falcons,20,Carolina,21
330824010,2013-08-24,Tennessee,27,Atlanta Falcons,16
330829001,2013-08-29,Atlanta Falcons,16,Jacksonville,20
331024027,2013-10-24,Tampa Bay,13,Carolina Panthers,31
331201029,2013-12-01,Carolina Panthers,27,Tampa Bay,6
331208018,2013-12-08,New Orleans,31,Carolina Panthers,13
331222029,2013-12-22,Carolina Panthers,17,New Orleans,13
330915027,2013-09-15,Tampa Bay,14,New Orleans Saints,16
331229018,2013-12-29,New Orleans Saints,42,Tampa Bay,17
330825034,2013-08-25,Houston,23,New Orleans Saints,31
330915034,2013-09-15,Houston Texans,30,Tennessee,24
331103034,2013-11-03,Houston Texans,24,Indianapolis,27
331124034,2013-11-24,Houston Texans,6,Jacksonville,13
331205030,2013-12-05,Jacksonville,27,Houston Texans,20
331215011,2013-12-15,Indianapolis,25,Houston Texans,3
331229010,2013-12-29,Tennessee,16,Houston Texans,10
330929030,2013-09-29,Jacksonville,3,Indianapolis Colts,37
331114010,2013-11-14,Tennessee,27,Indianapolis Colts,30
331201011,2013-12-01,Indianapolis Colts,22,Tennessee,14
331229011,2013-12-29,Indianapolis Colts,30,Jacksonville,10
331110010,2013-11-10,Tennessee,27,Jacksonville Jaguars,29
331222030,2013-12-22,Jacksonville Jaguars,16,Tennessee,20
