id,date,home_team,home_team_score,visit_team,visit_team_score
321015024,2012-10-15,San Diego,24,Denver Broncos,35
321028007,2012-10-28,Denver Broncos,34,New Orleans,14
321104004,2012-11-04,Cincinnati,23,Denver Broncos,31
321111029,2012-11-11,Carolina,14,Denver Broncos,36
321118007,2012-11-18,Denver Broncos,30,San Diego,23
321125012,2012-11-25,Kansas City,9,Denver Broncos,17
321202007,2012-12-02,Denver Broncos,31,Tampa Bay,23
321206013,2012-12-06,Oakland,13,Denver Broncos,26
321216033,2012-12-16,Baltimore,17,Denver Broncos,34
321223007,2012-12-23,Denver Broncos,34,Cleveland,12
321230007,2012-12-30,Denver Broncos,38,Kansas City,3
320809003,2012-08-09,Chicago,3,Denver Broncos,31
320909012,2012-09-09,Kansas City Chiefs,24,Atlanta,40
320923018,2012-09-23,New Orleans,24,Kansas City Chiefs,27
320930012,2012-09-30,Kansas City Chiefs,20,San Diego,37
321007012,2012-10-07,Kansas City Chiefs,6,Baltimore,9
321014027,2012-10-14,Tampa Bay,38,Kansas City Chiefs,10
321028012,2012-10-28,Kansas City Chiefs,16,Oakland,26
321101024,2012-11-01,San Diego,31,Kansas City Chiefs,13
321112023,2012-11-12,Pittsburgh,16,Kansas City Chiefs,13
321118012,2012-11-18,Kansas City Chiefs,6,Cincinnati,28
321202012,2012-12-02,Kansas City Chiefs,27,Carolina,21
321209005,2012-12-09,Cleveland,30,Kansas City Chiefs,7
321216013,2012-12-16,Oakland,15,Kansas City Chiefs,0
321223012,2012-12-23,Kansas City Chiefs,13,Indianapolis,20
320830009,2012-08-30,Green Bay,24,Kansas City Chiefs,3
320910013,2012-09-10,Oakland Raiders,14,San Diego,22
320923013,2012-09-23,Oakland Raiders,34,Pittsburgh,31
321014001,2012-10-14,Atlanta,23,Oakland Raiders,20
321021013,2012-10-21,Oakland Raiders,26,Jacksonville,23
321104013,2012-11-04,Oakland Raiders,32,Tampa Bay,42
321111033,2012-11-11,Baltimore,55,Oakland Raiders,20
321118013,2012-11-18,Oakland Raiders,17,New Orleans,38
321125004,2012-11-25,Cincinnati,34,Oakland Raiders,10
321202013,2012-12-02,Oakland Raiders,17,Cleveland,20
321223029,2012-12-23,Carolina,17,Oakland Raiders,6
321230024,2012-12-30,San Diego,24,Oakland Raiders,21
320825013,2012-08-25,Oakland Raiders,31,Detroit,20
320916024,2012-09-16,San Diego Chargers,38,Tennessee,10
320923024,2012-09-23,San Diego Chargers,3,Atlanta,27
321007018,2012-10-07,New Orleans,31,San Diego Chargers,24
321028005,2012-10-28,Cleveland,7,San Diego Chargers,6
321111027,2012-11-11,Tampa Bay,34,San Diego Chargers,24
321125024,2012-11-25,San Diego Chargers,13,Baltimore,16
321202024,2012-12-02,San Diego Chargers,13,Cincinnati,20
321209023,2012-12-09,Pittsburgh,24,San Diego Chargers,34
321216024,2012-12-16,San Diego Chargers,7,Carolina,31
320809024,2012-08-09,San Diego Chargers,21,Green Bay,13
320824016,2012-08-24,Minnesota,10,San Diego Chargers,12
320909003,2012-09-09,Chicago Bears,41,Indianapolis,21
320913009,2012-09-13,Green Bay,23,Chicago Bears,10
321007030,2012-10-07,Jacksonville,3,Chicago Bears,41
321022003,2012-10-22,Chicago Bears,13,Detroit,7
321028003,2012-10-28,Chicago Bears,23,Carolina,22
321104010,2012-11-04,Tennessee,20,Chicago Bears,51
321111003,2012-11-11,Chicago Bears,6,Houston,13
321125003,2012-11-25,Chicago Bears,28,Minnesota,10
321209016,2012-12-09,Minnesota,21,Chicago Bears,14
321216003,2012-12-16,Chicago Bears,13,Green Bay,21
321230008,2012-12-30,Detroit,24,Chicago Bears,26
320830005,2012-08-30,Cleveland,20,Chicago Bears,28
320923010,2012-09-23,Tennessee,44,Detroit Lions,41
320930008,2012-09-30,Detroit Lions,13,Minnesota,20
321104030,2012-11-04,Jacksonville,14,Detroit Lions,31
321111016,2012-11-11,Minnesota,34,Detroit Lions,24
321118008,2012-11-18,Detroit Lions,20,Green Bay,24
321122008,2012-11-22,Detroit Lions,31,Houston,34
321202008,2012-12-02,Detroit Lions,33,Indianapolis,35
321209009,2012-12-09,Green Bay,27,Detroit Lions,20
321222008,2012-12-22,Detroit Lions,18,Atlanta,31
320810008,2012-08-10,Detroit Lions,17,Cleveland,19
320817033,2012-08-17,Baltimore,12,Detroit Lions,27
330105009,2012-01-05,Green Bay Packers,24,Minnesota,10
320930009,2012-09-30,Green Bay Packers,28,New Orleans,27
321007011,2012-10-07,Indianapolis,30,Green Bay Packers,27
321014034,2012-10-14,Houston,24,Green Bay Packers,42
321028009,2012-10-28,Green Bay Packers,24,Jacksonville,15
321202009,2012-12-02,Green Bay Packers,23,Minnesota,14
321223009,2012-12-23,Green Bay Packers,55,Tennessee,7
321230016,2012-12-30,Minnesota,37,Green Bay Packers,34
320816009,2012-08-16,Green Bay Packers,10,Cleveland,35
320823004,2012-08-23,Cincinnati,13,Green Bay Packers,27
320909016,2012-09-09,Minnesota Vikings,26,Jacksonville,23
320916011,2012-09-16,Indianapolis,23,Minnesota Vikings,20
321007016,2012-10-07,Minnesota Vikings,30,Tennessee,7
321025016,2012-10-25,Minnesota Vikings,17,Tampa Bay,36
321223034,2012-12-23,Houston,6,Minnesota Vikings,23
320830034,2012-08-30,Houston,28,Minnesota Vikings,24
330106033,2012-01-06,Baltimore Ravens,24,Indianapolis,9
320910033,2012-09-10,Baltimore Ravens,44,Cincinnati,13
320927033,2012-09-27,Baltimore Ravens,23,Cleveland,16
321021034,2012-10-21,Houston,43,Baltimore Ravens,13
321104005,2012-11-04,Cleveland,15,Baltimore Ravens,25
321118023,2012-11-18,Pittsburgh,10,Baltimore Ravens,13
321202033,2012-12-02,Baltimore Ravens,20,Pittsburgh,23
321230004,2012-12-30,Cincinnati,23,Baltimore Ravens,17
320809001,2012-08-09,Atlanta,17,Baltimore Ravens,31
320823033,2012-08-23,Baltimore Ravens,48,Jacksonville,17
330105034,2012-01-05,Houston,19,Cincinnati Bengals,13
320916004,2012-09-16,Cincinnati Bengals,34,Cleveland,27
320930030,2012-09-30,Jacksonville,10,Cincinnati Bengals,27
321014005,2012-10-14,Cleveland,34,Cincinnati Bengals,24
321021004,2012-10-21,Cincinnati Bengals,17,Pittsburgh,24
321223023,2012-12-23,Pittsburgh,10,Cincinnati Bengals,13
320816001,2012-08-16,Atlanta,19,Cincinnati Bengals,24
320830011,2012-08-30,Indianapolis,20,Cincinnati Bengals,16
321021011,2012-10-21,Indianapolis,17,Cleveland Browns,13
321125005,2012-11-25,Cleveland Browns,20,Pittsburgh,14
321230023,2012-12-30,Pittsburgh,24,Cleveland Browns,10
321011010,2012-10-11,Tennessee,26,Pittsburgh Steelers,23
320819023,2012-08-19,Pittsburgh Steelers,26,Indianapolis,24
320830023,2012-08-30,Pittsburgh Steelers,17,Carolina,16
320930001,2012-09-30,Atlanta Falcons,30,Carolina,28
321111018,2012-11-11,New Orleans,31,Atlanta Falcons,27
321125027,2012-11-25,Tampa Bay,23,Atlanta Falcons,24
321129001,2012-11-29,Atlanta Falcons,23,New Orleans,13
321209029,2012-12-09,Carolina,30,Atlanta Falcons,20
321230001,2012-12-30,Atlanta Falcons,17,Tampa Bay,22
320830030,2012-08-30,Jacksonville,24,Atlanta Falcons,14
